City,Job title,Min salary (local currency),Max salary (local currency),per,Min salary (usd/y),Max salary (usd/y),Average salary (usd/y)
"Birmingham, UK",Trader,£30K,£47K,yr,36790.208584726766,57637.99344940527,47214.101017066016
New Orleans,Trader,$93K,$174K,yr,93000.0,174000.0,133500.0
Bucharest,Trader,RON3K,RON7K,mo,7734.944125641799,18048.202959830865,12891.573542736332
Leeds,Trader,£29K,£44K,yr,35563.868298569214,53958.97259093259,44761.420444750904
Ottawa,Trader,CA$60K,CA$105K,yr,43522.534158112976,76164.4347766977,59843.48446740534
Cologne,,,,,,,
Charlotte,,,,,,,
Calgary,,,,,,,
Düsseldorf,,,,,,,
Hanoi,,,,,,,
Gothenburg,,,,,,,
Bilbao,,,,,,,
Baltimore,,,,,,,
Geneva,,,,,,,
Lausanne,,,,,,,
Basel,,,,,,,
Bern Switzerland,,,,,,,
