City,Job title,Min salary (local currency),Max salary (local currency),per,Min salary (usd/y),Max salary (usd/y),Average salary (usd/y)
Minneapolis,Data Scientist,$118K,$172K,yr,118000.0,172000.0,145000.0
Minsk,Data Scientist,BYN5K,BYN7K,mo,0.0,0.0,0.0
Lyon,Data Scientist,€42K,€60K,yr,44818.2,64025.99999999999,54422.09999999999
Portland,Data Scientist,$134K,$187K,yr,134000.0,187000.0,160500.0
Rotterdam,Data Scientist,€4K,€8K,mo,51220.8,102441.6,76831.2
Bogotá,Data Scientist,COP8M,COP28M,mo,0.0,0.0,0.0
Kraków,Data Scientist,PLN24K,PLN57K,mo,68822.03560631508,163452.33456499834,116137.1850856567
"Valencia, Spain",Data Scientist,€28K,€42K,yr,29878.8,44818.2,37348.5
Santiago,Data Scientist,CLP3M,CLP9M,mo,0.0,0.0,0.0
"Birmingham, UK",Data Scientist,£36K,£59K,yr,44148.25030167213,72354.07688329597,58251.16359248405
New Orleans,Data Scientist,$98K,$151K,yr,98000.0,151000.0,124500.0
Bucharest,Data Scientist,RON15K,RON36K,mo,38674.720628209,92819.3295077016,65747.0250679553
Leeds,Data Scientist,£40K,£60K,yr,49053.61144630236,73580.41716945353,61317.01430787794
Ottawa,Data Scientist,CA$85K,CA$156K,yr,61656.92339066004,113158.58881109372,87407.75610087688
Cologne,Data Scientist,€63K,€89K,yr,67227.3,94971.9,81099.6
Charlotte,Data Scientist,$114K,$160K,yr,114000.0,160000.0,137000.0
Calgary,Data Scientist,CA$86K,CA$129K,yr,62382.298959961925,93573.44843994288,77977.87369995241
Düsseldorf,Data Scientist,€61K,€83K,yr,65093.1,88569.29999999999,76831.2
Hanoi,Data Scientist,₫57M,₫177M,mo,0.0,0.0,0.0
Gothenburg,Data Scientist,SEK67K,SEK116K,mo,73608.88850757154,127442.25472952685,100525.5716185492
Bilbao,Data Scientist,€23K,€43K,yr,24543.3,45885.3,35214.3
Baltimore,Data Scientist,$114K,$164K,yr,114000.0,164000.0,139000.0
Geneva,Data Scientist,CHF103K,CHF134K,yr,114502.8648817585,148964.89217626836,131733.87852901343
Lausanne,Data Scientist,CHF98K,CHF129K,yr,108944.47338264402,143406.50067715388,126175.48702989894
Basel,Data Scientist,CHF119K,CHF147K,yr,132289.71767892488,163416.71007396604,147853.21387644546
Bern Switzerland,Data Scientist,CHF107K,CHF138K,yr,118949.5780810501,153411.60537555997,136180.59172830504
